dealerId,name,code,salesId,salesName,active,archived,note
aki1,偉昕,AKI1,aki,AKI,true,false,
aki2,遊戲達人,AKI2,aki,AKI,true,false,
aki3,KB,AKI3,aki,AKI,true,false,
aki4,丸紀,AKI4,aki,AKI,true,false,
aki5,高雄NS,AKI5,aki,AKI,true,false,
aki6,順發,AKI6,aki,AKI,true,false,
aki7,昇恆昌,AKI7,aki,AKI,true,false,
aki8,艾達,AKI8,aki,AKI,true,false,
aki9,梓萌,AKI9,aki,AKI,true,false,
aki10,DRZ,AKI10,aki,AKI,true,false,
aki11,U李,AKI11,aki,AKI,true,false,
aki12,超威,AKI12,aki,AKI,true,false,
aki13,小王子,AKI13,aki,AKI,true,false,
aki14,米特,AKI14,aki,AKI,true,false,
edward 1,王碁,Edward 1,edward,Edward,true,false,
edward 2,普雷伊,Edward 2,edward,Edward,true,false,
edward 3,馨運,Edward 3,edward,Edward,true,false,
edward 4,壹世代,Edward 4,edward,Edward,true,false,
edward 5,誠翼,Edward 5,edward,Edward,true,false,
edward 6,Books,Edward 6,edward,Edward,true,false,
edward 7,巴哈姆特,Edward 7,edward,Edward,true,false,
hsinhui1,摩力科,Hsinhui1,hsinhui,Hsinhui,true,false,
hsinhui2,PIPI,Hsinhui2,hsinhui,Hsinhui,true,false,
hsinhui3,星龍,Hsinhui3,hsinhui,Hsinhui,true,false,
hsinhui4,GE,Hsinhui4,hsinhui,Hsinhui,true,false,
hsinhui5,幸運草,Hsinhui5,hsinhui,Hsinhui,true,false,
hsinhui6,玥勝,Hsinhui6,hsinhui,Hsinhui,true,false,
hsinhui7,凱發,Hsinhui7,hsinhui,Hsinhui,true,false,
hsinhui8,恐龍,Hsinhui8,hsinhui,Hsinhui,true,false,
hsinhui9,WEILINK,Hsinhui9,hsinhui,Hsinhui,true,false,
hsinhui10,宇頡,Hsinhui10,hsinhui,Hsinhui,true,false,
hsinhui11,彭氏,Hsinhui11,hsinhui,Hsinhui,true,false,
hsinhui12,峰鼎,Hsinhui12,hsinhui,Hsinhui,true,false,
meg1,AGM EC,MEG1,meg,MEG,true,false,
mickey1,PCHOME,Mickey1,mickey,Mickey,true,false,
mickey2,MOMO,Mickey2,mickey,Mickey,true,false,
tom1,三井,Tom1,tom,Tom,true,false,
tom2,法雅客,Tom2,tom,Tom,true,false,
tom3,全國,Tom3,tom,Tom,true,false,
tom4,神腦,Tom4,tom,Tom,true,false,
tom5,展碁,Tom5,tom,Tom,true,false,
wythe1,YAHOO,Wythe1,wythe,Wythe,true,false,
wythe2,燦坤,wythe2,wythe,wythe,true,false,
wythe3,家樂福,wythe3,wythe,wythe,true,false,
wythe4,墊腳石,wythe4,wythe,wythe,true,false,
0,其他,0,,,true,false,