P/N,國際條碼,初始庫存,備註
ZL.A00TZ.1FN,4713014355962,0,
ZL.A00TZ.1FO,4713014356037,0,
ZL.A00TZ.1BZ,4713014355153,0,
ZL.A00TZ.17S,4713014356075,0,
ZL.A00TZ.18Z,4713014355948,0,
ZL.A00TZ.191,4713014356778,0,
ZL.A00TZ.196,4713014356792,0,
ZL.A00TZ.1CP,4713014356853,0,
ZL.A00TZ.1CQ,4713014356716,0,
ZL.A00TZ.1CR,4713014356938,0,
ZL.A00TZ.1FW,4713014357300,0,
ZL.A00TZ.1JJ,4713014356242,0,
ZL.A00TZ.1JL,4713014356983,0,
ZL.A00TZ.1JM,4713014357416,0,
ZL.A00TZ.1LE,4713014357515,0,
ZL.A00TZ.1LG,4713014357072,0,
ZL.A00TZ.1OG,4713014357058,0,
ZL.A00TZ.1LI,4713014355269,0,
ZL.A00TZ.1OR,4713014355764,0,
ZL.A00TZ.1ON,4713014357126,0,
ZL.A00TZ.1OP,4713014355993,0,
ZL.A00TZ.1OX,4713014357102,0,
ZL.A00TZ.1MT,4713014357294,0,
ZL.A00TZ.1OZ,4713014357690,0,
ZL.A00TZ.1OM,4713014357850,0,
ZL.A00TZ.1QM,4713014357867,0,
ZL.A00TZ.1SJ,4713014357911,0,
ZL.A00TZ.1SK,4713014358017,0,
ZL.A00TZ.1SH,4713014356273,0,
ZL.A00TZ.1LJ,4713014357591,0,
ZL.A00TZ.1OY,4713014357676,0,
ZL.A00TZ.1MU,4713014357683,0,
ZL.A00TZ.1P0,4713014357706,0,
ZL.A00TZ.1Q7,4713014357874,0,
ZL.A00TZ.1QN,4713014357881,0,
ZL.A00TZ.1SL,4713014357928,0,
ZL.A00TZ.1SM,4713014358024,0,
ZL.A00TZ.1SP,4713014357997,0,
ZL.A00TZ.0U0,8885011017900,181,
ZL.A00TZ.1OD,4713014356020,0,
ZL.A00TZ.17Q,4713014356068,0,
ZL.A00TZ.17U,4713014356747,0,
ZL.A00TZ.190,4713014355931,0,
ZL.A00TZ.18X,4713014356099,0,
ZL.A00TZ.195,4713014356297,0,
ZL.A00TZ.192,4713014356761,0,
ZL.A00TZ.1A8,4713014356570,0,
ZL.A00TZ.197,4713014356785,0,
ZL.A00TZ.194,4713014356181,0,
ZL.A00TZ.1CS,4713014356846,0,
ZL.A00TZ.1CT,4713014356709,0,
ZL.A00TZ.1CU,4713014355115,0,
ZL.A00TZ.1CW,4713014356211,0,
ZL.A00TZ.1FX,4713014357270,0,
ZL.A00TZ.1JN,4713014357393,0,
ZL.A00TZ.1LF,4713014356990,0,
ZL.A00TZ.1LH,4713014357065,0,
ZL.A00TZ.1LL,4713014357089,0,
ZL.A00TZ.1MW,4713014357577,0,
ZL.A00TZ.1LK,4713014355252,0,
ZL.A00TZ.1OT,4713014355757,0,
ZL.A00TZ.1OO,4713014357119,0,
ZL.A00TZ.1OQ,4713014355979,0,
ZL.A00TZ.1PZ,4713014357133,0,
ZL.A00TZ.1MV,4713014357287,0,
ZL.A00TZ.1Q8,4713014357836,0,
ZL.A00TZ.1QO,4713014357843,0,
ZL.A00TZ.1SN,4713014357904,0,
ZL.A00TZ.1SO,4713014358000,0,
ZL.A00TZ.1Q0,4713014357140,0,
ZL.A00TZ.1Q9,4713014357720,0,
ZL.A00TZ.1QA,4713014357157,0,
ZL.A00TZ.1SI,4713014356266,0,
ZL.A00TZ.1BF,4713014354750,0,
ZL.A00TZ.1BG,4713014355672,0,
ZL.A00TZ.1BI,4713014352312,0,
ZL.A00TZ.1BJ,4713014354712,0,
ZL.A00TZ.1BK,4713014353517,0,
ZL.A00TZ.1FP,4713014355221,0,
ZL.A00TZ.1BQ,4713014353005,0,
ZL.A00TZ.1BR,4713014353852,0,
ZL.A00TZ.1BS,4713014352626,0,
ZL.A00TZ.1BT,4573173327510,0,
ZL.A00TZ.1BX,4713014352503,0,
ZL.A00TZ.1BY,4713014354354,0,
ZL.A00TZ.1C0,4713014353630,0,
ZL.A00TZ.1C1,4713014352077,0,
ZL.A00TZ.1C2,4713014352336,0,
ZL.A00TZ.1C3,4713014352411,0,
ZL.A00TZ.1C5,4713014352145,0,
ZL.A00TZ.1C6,4713014352121,0,
ZL.A00TZ.1C4,4713014354262,0,
ZL.A00TZ.1C7,4713014354606,0,
ZL.A00TZ.1C9,4713014353555,0,
ZL.A00TZ.1BH,4713014353029,0,
ZL.A00TZ.1BL,4713014352237,0,
ZL.A00TZ.1BM,4713014355474,0,
ZL.A00TZ.1BN,4713014352046,0,
ZL.A00TZ.1BO,4713014352053,0,
ZL.A00TZ.1BV,4713014354774,0,
ZL.A00TZ.1BW,4713014355382,0,
ZL.A00TZ.1CB,,0,
ZL.A00TZ.1CC,4710841419638,0,
ZL.A00TZ.1CD,4713014350707,0,
ZL.A00TZ.1CE,4713014351384,0,
ZL.A00TZ.1CF,4713014354897,0,
ZL.A00TZ.1OL,4713014355740,0,
ZL.A00TZ.18T,,0,
ZL.A00TZ.1BP,4713014354149,0,
ZL.A00TZ.1JO,4713014357348,0,
ZL.A00TZ.1BU,,0,
ZL.A00TZ.11F,4580694044192,0,
ZL.A00TZ.11S,4580694043461,0,
ZL.A00TZ.11X,4580694041283,0,
ZL.A00TZ.1FZ,4580694044857,0,
ZL.A00TZ.124,4580694043393,0,
ZL.A00TZ.125,4580694040125,0,
ZL.A00TZ.127,4580694044277,0,
ZL.A00TZ.128,4580694042440,0,
ZL.A00TZ.12C,4580694041559,0,
ZL.A00TZ.133,4580694044352,0,
ZL.A00TZ.12W,4580694044383,0,
ZL.A00TZ.184,4580694044628,0,
ZL.A00TZ.1BE,4580694044918,0,
ZL.A00TZ.1CX,4580694044802,0,
ZL.A00TZ.1DE,4580694045236,0,
ZL.A00TZ.1DH,4580694045298,0,
ZL.A00TZ.15M,4580694044765,0,
ZL.A00TZ.1HW,4580694046417,0,
ZL.A00TZ.1E3,4535506303899,0,
ZL.A00TZ.130,4535506303783,0,
ZL.A00TZ.17J,608037466235,0,
ZL.A00TZ.17X,742839255458,0,
ZL.A00TZ.1I3,608037466570,0,
ZL.A00TZ.1H7,4535506303943,0,
ZL.A00TZ.1HO,4535506303998,0,
ZL.A00TZ.1H8,4535506303967,0,
ZL.A00TZ.1G1,4580694042273,0,
ZL.A00TZ.11T,4580694043416,0,
ZL.A00TZ.11V,4580694042372,0,
ZL.A00TZ.11Y,4580694041276,0,
ZL.A00TZ.12A,4580694041573,0,
ZL.A00TZ.1AF,4580694044369,0,
ZL.A00TZ.183,4580694044635,0,
ZL.A00TZ.1B4,4580694045434,0,
ZL.A00TZ.1DD,4580694045212,0,
ZL.A00TZ.1DG,4580694045274,0,
ZL.A00TZ.1DP,4580694045533,0,
ZL.A00TZ.11G,4580694042365,0,
ZL.A00TZ.11H,4580694042624,0,
ZL.A00TZ.11U,4580694043454,0,
ZL.A00TZ.1FY,4580694044864,0,
ZL.A00TZ.1HG,4580694044246,0,
ZL.A00TZ.12B,4580694041351,0,
ZL.A00TZ.131,4580694044345,0,
ZL.A00TZ.132,4580694044604,0,
ZL.A00TZ.12V,4580694044376,0,
ZL.A00TZ.182,4580694044642,0,
ZL.A00TZ.1B5,4580694045427,0,
ZL.A00TZ.1B6,4580694045458,0,
ZL.A00TZ.1DC,4580694045229,0,
ZL.A00TZ.1DF,4580694045281,0,
ZL.A00TZ.15L,4580694044758,0,
ZL.A00TZ.1DO,4580694045526,0,
ZL.A00TZ.1HL,4580694046257,0,
ZL.A00TZ.1GD,3512899968905,0,
ZL.A00TZ.1FA,4020628578176,0,
ZL.A00TZ.180,608037466396,0,
ZL.A00TZ.12X,4595989961047,0,
ZL.A00TZ.17Y,3512899968165,0,
ZL.A00TZ.12Z,4535506303790,0,
ZL.A00TZ.1HV,4580694046301,0,
ZL.A00TZ.1E4,4020628559076,0,
ZL.A00TZ.1HN,4535506304001,0,
ZL.A00TZ.1AY,4580694044444,0,
ZL.A00TZ.1AR,4580694045182,0,
ZL.A00TZ.1AS,4580694045199,0,
ZL.A00TZ.1AT,4580694045205,0,
ZL.A00TZ.12T,4580694044468,0,
ZL.A00TZ.15N,4580694044536,0,
ZL.A00TZ.15O,4580694044543,0,
ZL.A00TZ.12O,4580694043249,0,
ZL.A00TZ.12P,4580694043256,0,
ZL.A00TZ.12Q,4580694044208,0,
ZL.A00TZ.12R,4580694044512,0,
ZL.A00TZ.12M,4580694043263,0,
ZL.A00TZ.18G,4580694044116,0,
ZL.A00TZ.11I,4580694042587,0,
ZL.A00TZ.11J,4580694041627,0,
ZL.A00TZ.11K,4580694042563,0,
ZL.A00TZ.11L,4580694043072,0,
ZL.A00TZ.11M,4580694042464,0,
ZL.A00TZ.11N,4580694041603,0,
ZL.A00TZ.11O,4580694042235,0,
ZL.A00TZ.15T,4580694042327,0,
ZL.A00TZ.11P,4580694043201,0,
ZL.A00TZ.15U,4580694041436,0,
ZL.A00TZ.11Q,4580694040606,0,
ZL.A00TZ.12D,4580694041580,0,
ZL.A00TZ.12E,4580694042419,0,
ZL.A00TZ.1HA,4580694043317,0,
ZL.A00TZ.12F,4580694041054,0,
ZL.A00TZ.15V,4580694044284,0,
ZL.A00TZ.11R,4580694044093,0,
ZL.A00TZ.1AX,4580694043133,0,
ZL.A00TZ.1GB,4580694045649,0,
ZL.A00TZ.1GC,4580694045656,0,
ZL.A00TZ.1HJ,4580694046264,0,
ZL.A00TZ.1FU,4580694046219,0,
ZL.A00TZ.1DK,6972561612289,0,
ZL.A00TZ.1DM,6972561612272,0,
ZL.A00TZ.1DJ,6972561612296,0,
ZL.A00TZ.0T3,4948872415927,0,
ZL.A00TZ.0T4,4948872415903,0,
ZL.A00TZ.1PO,4948872416979,0,
ZL.A00TZ.1PQ,4948872416955,0,
ZL.A00TZ.18S,4948872416313,0,
ZL.A00TZ.0T5,4948872416092,0,
ZL.A00TZ.0T6,4948872416023,0,
ZL.A00TZ.0F6,4948872415392,0,
ZL.A00TZ.0F8,4948872415866,0,
ZL.A00TZ.15Y,4948872416337,0,
ZL.A00TZ.164,4948872416283,0,
ZL.A00TZ.1E5,4948872416511,0,
ZL.A00TZ.007,4948872414982,0,
ZL.A00TZ.00Y,4948872415194,0,
ZL.A00TZ.00Z,4948872415170,0,
ZL.A00TZ.089,4948872415699,0,
ZL.A00TZ.0Q6,4948872416122,0,
ZL.A00TZ.1RC,4948872417297,0,
ZL.A00TZ.1RD,4948872417235,0,
ZL.A00TZ.1RE,4948872417211,0,
ZL.A00TZ.1RF,4948872417396,0,
ZL.A00TZ.1RG,4948872417372,0,
ZL.A00TZ.1RH,4948872417358,0,
ZL.A00TZ.1RI,4948872417334,0,
ZL.A00TZ.1TK,4948872417136,0,
ZL.A00TZ.1TL,4948872417112,0,
ZL.A00TZ.1TM,4948872417099,0,
ZL.A00TZ.1R6,4948872417440,0,
ZL.A00TZ.1TJ,4948872417150,0,
ZL.A00TZ.168,4948872416290,0,
ZL.A00TZ.1CJ,4948872416719,0,
ZL.A00TZ.1OF,4948872417044,0,
ZL.A00TZ.1PP,4948872416931,0,
ZL.A00TZ.1MO,4948872416795,0,
ZL.A00TZ.1MP,4948872416863,0,
ZL.A00TZ.1TN,4948872417037,0,
ZL.A00TZ.1TO,4948872417020,0,
ZL.A00TZ.1TP,4948872417013,0,
ZL.A00TZ.009,4948872415095,0,
ZL.A00TZ.00A,4948872415071,0,
ZL.A00TZ.0EZ,4948872415705,0,
ZL.A00TZ.1E6,4948872416597,0,
ZL.A00TZ.0F0,4948872415729,0,
ZL.A00TZ.1MI,4948872416894,0,
ZL.A00TZ.1E7,4948872416634,0,
ZL.A00TZ.1HC,4948872416924,0,
ZL.A00TZ.1E8,4948872416627,0,
ZL.A00TZ.0SR,4948872416221,113,
ZL.A00TZ.008,4948872415057,751,
ZL.A00TZ.013,4948872613736,267,
0111.ECAS-00006,4948872613743,0,
ZL.A00TZ.00H,4948872613774,164,
ZL.A00TZ.014,4948872613798,0,
ZL.A00TZ.00Q,4948872613897,29,
ZL.A00TZ.043,4948872613903,0,
ZL.A00TZ.00V,4948872613972,337,
ZL.A00TZ.078,4948872613989,141,
ZL.A00TZ.01D,4948872614030,426,
ZL.A00TZ.01J,4948872614054,67,
ZL.A00TZ.03M,4948872614122,0,
ZL.A00TZ.04D,4948872614177,415,
ZL.A00TZ.03S,4948872614276,0,
ZL.A00TZ.077,4948872614351,57,
ZL.A00TZ.0LW,4948872614764,0,
ZL.A00TZ.0T2,4948872614849,41,
ZL.A00TZ.0OI,4948872615778,0,
ZL.A00TZ.0P6,4948872615792,89,
ZL.A00TZ.0TM,4948872615853,262,
ZL.A00TZ.0VZ,4948872615921,389,
ZL.A00TZ.17K,4948872616010,202,
ZL.A00TZ.11E,4948872616058,144,
ZL.A00TZ.19G,4948872616096,70,
ZL.A00TZ.19F,4948872616133,0,
ZL.A00TZ.1FI,4948872616157,840,
ZL.A00TZ.1EW,4948872616195,1,
ZL.A00TZ.1F9,4948872616232,237,
ZL.A00TZ.1HE,4948872616256,0,
ZL.A00TZ.1HF,4948872616294,300,
ZL.A00TZ.1UX,4948872616324,0,
ZL.A00TZ.0FF,4988601011532,426,
ZL.A00TZ.0I0,4974365837457,38,
ZL.A00TZ.0M8,4580544940803,5,
ZL.A00TZ.0O2,8057168507867,29,
ZL.A00TZ.0SQ,4974365837662,0,
ZL.A00TZ.0VC,4974365837846,0,
ZL.A00TZ.0EY,4974365825584,40,
ZL.A00TZ.0HQ,5051895416068,30,
0101.PCAS-20001,4948872611688,34,
0101.PCAS-20013,4948872612821,0,
0101.PCAS-20014,4948872612814,88,
0101.PCAS-20017,4948872613132,0,
0101.PCAS-05122,4948872613507,28,
ZL.A00TZ.01E,4948872614047,25,
ZL.A00TZ.04F,4948872614245,0,
ZL.A00TZ.07B,4948872614528,0,
ZL.A00TZ.0I5,4948872614757,30,
0101.PCAS-05081,4948872612159,133,
0101.PCAS-05091,4948872612517,23,
0111.ECAS-00003,4948872613736,0,
0111.ECAS-00018,4948872613903,0,
ZL.W01TZ.01H,8717496872791,0,
ZL.W01TZ.026,8717496872296,0,
ZL.W01TZ.075,8717496873255,0,
ZL.W01TZ.02E,8717496873033,0,
ZL.W01TZ.00P,8717496872975,0,
ZL.W01TZ.012,8717496873101,0,
ZL.W01TZ.0GM,8717496873279,78,
ZL.W01TZ.0H0,8717496873118,0,
ZL.W01TZ.029,8717496872326,0,
ZL.W01TZ.001,640746635533,1,
ZL.W01TZ.002,40835250522,0,
ZL.W01TZ.003,667380785820,1,
ZL.W01TZ.004,737787153383,0,
ZL.W01TZ.015,9359668000220,0,
ZL.W01TZ.016,9359668000480,12,
ZL.W01TZ.09I,9359668000596,0,
ZL.W01TZ.0B5,9359668000800,4,
ZL.W01TZ.0AA,850041503677,10,